
VAR_4_BeT-2252746964.uml	nao aplicado
VAR_7_BeT-7881463322.uml	 strategy
VAR_7_BeT-1298159232.uml	 strategy
VAR_3_BeT-6991187613.uml	nao aplicado
VAR_5_BeT-8548688952.uml	nao aplicado
VAR_3_BeT-5781771753.uml	nao aplicado
VAR_3_BeT-4643913551.uml	nao aplicado
VAR_1_BeT-7119632744.uml	nao aplicado
VAR_7_BeT-6612624918.uml	 strategy
VAR_11_BeT-6919322611.uml	nao aplicado
VAR_3_BeT-1917268883.uml	 strategy
VAR_2_BeT-9418722451.uml	nao aplicado
VAR_10_BeT-6632384653.uml	nao aplicado
VAR_5_BeT-6767286335.uml	nao aplicado
VAR_4_BeT-6135658918.uml	nao aplicado
VAR_0_BeT-2472356537.uml	nao aplicado
VAR_0_BeT-7186224573.uml	nao aplicado
VAR_6_BeT-8418719539.uml	nao aplicado
VAR_9_BeT-1759591577.uml	nao aplicado
VAR_13_BeT-5952874185.uml	nao aplicado
VAR_3_BeT-4717349451.uml	nao aplicado
VAR_8_BeT-7297699187.uml	nao aplicado
VAR_3_BeT-2393914459.uml	nao aplicado
VAR_4_BeT-9159314794.uml	nao aplicado
VAR_0_BeT-9133969218.uml	nao aplicado
VAR_12_BeT-1114872743.uml	nao aplicado
VAR_9_BeT-3713931258.uml	nao aplicado
VAR_12_BeT-8825879131.uml	nao aplicado
VAR_5_BeT-8597426657.uml	nao aplicado
VAR_9_BeT-2647285163.uml	nao aplicado
VAR_4_BeT-1115639698.uml	nao aplicado
VAR_7_BeT-3114316571.uml	nao aplicado
VAR_6_BeT-2957451123.uml	 strategy
VAR_12_BeT-9691811653.uml	 strategy
VAR_8_BeT-9579229561.uml	nao aplicado
VAR_0_BeT-7645988111.uml	 strategy
VAR_10_BeT-6994912473.uml	nao aplicado
VAR_12_BeT-5891282739.uml	nao aplicado
VAR_12_BeT-1139767811.uml	 strategy
VAR_12_BeT-4455983693.uml	 strategy
VAR_9_BeT-7531616241.uml	nao aplicado
VAR_13_BeT-1444114216.uml	nao aplicado
VAR_11_BeT-3314762229.uml	nao aplicado
VAR_10_BeT-3431935791.uml	nao aplicado
VAR_5_BeT-5497492617.uml	 strategy
VAR_5_BeT-7691918182.uml	 strategy
VAR_8_BeT-5377199766.uml	nao aplicado
VAR_6_BeT-8647691199.uml	nao aplicado
VAR_2_BeT-1921512894.uml	nao aplicado
VAR_5_BeT-8215117918.uml	nao aplicado
VAR_1_BeT-9382935295.uml	nao aplicado
VAR_3_BeT-8984188885.uml	nao aplicado
VAR_0_BeT-1726114658.uml	 strategy
VAR_6_BeT-2546952321.uml	nao aplicado
VAR_2_BeT-8163222475.uml	nao aplicado
VAR_10_BeT-5313466394.uml	nao aplicado
VAR_5_BeT-6831417933.uml	nao aplicado
VAR_2_BeT-4514443884.uml	nao aplicado
VAR_13_BeT-5945179913.uml	 strategy
VAR_8_BeT-6186292654.uml	nao aplicado
VAR_10_BeT-1568875497.uml	nao aplicado
VAR_1_BeT-1557635367.uml	nao aplicado
VAR_9_BeT-1227854199.uml	nao aplicado
VAR_12_BeT-9446898232.uml	nao aplicado
VAR_7_BeT-4689413717.uml	 strategy
VAR_9_BeT-5551111221.uml	nao aplicado
VAR_10_BeT-3618163196.uml	nao aplicado
VAR_10_BeT-7445116119.uml	nao aplicado
VAR_11_BeT-6187258451.uml	nao aplicado
VAR_12_BeT-4965193431.uml	nao aplicado
VAR_3_BeT-6162752791.uml	nao aplicado
VAR_10_BeT-2768847891.uml	nao aplicado
VAR_10_BeT-1536381764.uml	nao aplicado
VAR_2_BeT-7461437199.uml	nao aplicado
VAR_3_BeT-1141861249.uml	nao aplicado
VAR_9_BeT-3411218661.uml	nao aplicado
VAR_7_BeT-1217456332.uml	 strategy
VAR_7_BeT-4369219997.uml	 strategy
VAR_11_BeT-6174871749.uml	nao aplicado
VAR_13_BeT-5756419613.uml	nao aplicado
VAR_3_BeT-4223548871.uml	nao aplicado
VAR_13_BeT-3557521788.uml	nao aplicado
VAR_3_BeT-3116275421.uml	nao aplicado
VAR_5_BeT-7237154613.uml	nao aplicado
VAR_3_BeT-5114191198.uml	nao aplicado
VAR_5_BeT-6891346435.uml	nao aplicado
VAR_7_BeT-3918819584.uml	 strategy
VAR_11_BeT-1211811835.uml	nao aplicado
VAR_8_BeT-8161817555.uml	nao aplicado
VAR_2_BeT-6199137464.uml	nao aplicado
VAR_12_BeT-8753761211.uml	nao aplicado
VAR_1_BeT-8141268686.uml	nao aplicado
VAR_10_BeT-7757271224.uml	nao aplicado
VAR_9_BeT-7124418164.uml	 strategy
VAR_3_BeT-4481154641.uml	nao aplicado
VAR_10_BeT-4115413298.uml	nao aplicado
VAR_3_BeT-6317319471.uml	nao aplicado
VAR_11_BeT-6865511789.uml	nao aplicado
VAR_2_BeT-2341638497.uml	nao aplicado
VAR_1_BeT-6167217984.uml	nao aplicado
VAR_6_BeT-1671414414.uml	nao aplicado
VAR_6_BeT-5114649518.uml	nao aplicado
VAR_2_BeT-8644361237.uml	nao aplicado
VAR_12_BeT-4341432433.uml	nao aplicado
VAR_1_BeT-3331167571.uml	nao aplicado
VAR_0_BeT-9818675931.uml	 strategy
VAR_8_BeT-2818168464.uml	nao aplicado
VAR_10_BeT-3295499335.uml	nao aplicado
VAR_5_BeT-1158261175.uml	nao aplicado
VAR_1_BeT-2354633617.uml	nao aplicado
VAR_5_BeT-1119839854.uml	nao aplicado
VAR_8_BeT-6968347271.uml	nao aplicado
VAR_8_BeT-8656617482.uml	nao aplicado
VAR_5_BeT-2437264715.uml	 strategy
VAR_7_BeT-3744122319.uml	nao aplicado
VAR_11_BeT-1861754245.uml	 strategy
VAR_4_BeT-1423116576.uml	nao aplicado
VAR_9_BeT-2977398513.uml	 strategy
VAR_6_BeT-1938225533.uml	nao aplicado
VAR_11_BeT-6562346764.uml	nao aplicado
VAR_2_BeT-9539559292.uml	nao aplicado
VAR_12_BeT-1361931951.uml	nao aplicado
VAR_9_BeT-5191951882.uml	 strategy
VAR_13_BeT-4241156817.uml	nao aplicado
VAR_12_BeT-1554169741.uml	nao aplicado
VAR_8_BeT-1771289517.uml	nao aplicado
VAR_12_BeT-1318543136.uml	nao aplicado
VAR_12_BeT-8957178939.uml	nao aplicado
VAR_9_BeT-7129388722.uml	 strategy
VAR_12_BeT-2529716658.uml	nao aplicado
VAR_0_BeT-8721141377.uml	 strategy
VAR_6_BeT-7117212112.uml	nao aplicado
VAR_11_BeT-3861176183.uml	 strategy
VAR_2_BeT-2436677874.uml	nao aplicado
VAR_4_BeT-5849327951.uml	 strategy
VAR_4_BeT-1162528619.uml	nao aplicado
VAR_11_BeT-4112181699.uml	nao aplicado
VAR_0_BeT-1529961844.uml	nao aplicado
VAR_7_BeT-4178481369.uml	 strategy
VAR_5_BeT-3991111594.uml	nao aplicado
VAR_0_BeT-9114469861.uml	nao aplicado
VAR_2_BeT-6967157548.uml	nao aplicado
VAR_8_BeT-8432649465.uml	nao aplicado
VAR_9_BeT-2731411259.uml	 strategy
VAR_11_BeT-6833392868.uml	nao aplicado
VAR_9_BeT-4426695262.uml	 strategy
VAR_1_BeT-2814641729.uml	nao aplicado
VAR_10_BeT-8871776344.uml	nao aplicado
VAR_1_BeT-5176293452.uml	nao aplicado
VAR_0_BeT-2961429981.uml	nao aplicado
VAR_8_BeT-4713433415.uml	nao aplicado
VAR_2_BeT-2691549191.uml	 strategy
VAR_6_BeT-4283962969.uml	nao aplicado
VAR_1_BeT-1612131725.uml	 strategy
VAR_10_BeT-4189773885.uml	nao aplicado
VAR_8_BeT-2538921824.uml	nao aplicado
VAR_9_BeT-7132979687.uml	nao aplicado
VAR_6_BeT-7834614961.uml	nao aplicado
VAR_7_BeT-7315831117.uml	nao aplicado
VAR_1_BeT-9696336215.uml	nao aplicado
VAR_11_BeT-3591114125.uml	nao aplicado
VAR_1_BeT-6414963166.uml	nao aplicado
VAR_13_BeT-7526234919.uml	nao aplicado
VAR_8_BeT-5258115875.uml	nao aplicado
VAR_4_BeT-5672762697.uml	nao aplicado
VAR_11_BeT-9759831121.uml	nao aplicado
VAR_3_BeT-7239184682.uml	nao aplicado
VAR_3_BeT-3198841234.uml	nao aplicado
VAR_12_BeT-4329119191.uml	 strategy
VAR_12_BeT-6721665915.uml	 strategy
VAR_0_BeT-1233441727.uml	 strategy
VAR_10_BeT-5757515367.uml	nao aplicado
VAR_3_BeT-2815518379.uml	nao aplicado
VAR_0_BeT-8326819186.uml	 strategy
VAR_5_BeT-9218111716.uml	nao aplicado
VAR_4_BeT-8481365158.uml	 strategy
VAR_7_BeT-1619215114.uml	 strategy
VAR_7_BeT-5445532329.uml	 strategy
VAR_4_BeT-4241783619.uml	 strategy
VAR_9_BeT-3419161637.uml	 strategy
VAR_3_BeT-7131525229.uml	nao aplicado
VAR_9_BeT-7165882131.uml	nao aplicado
VAR_4_BeT-9317121746.uml	nao aplicado
VAR_0_BeT-4977214118.uml	nao aplicado
VAR_12_BeT-2541981618.uml	nao aplicado
VAR_11_BeT-1717856216.uml	nao aplicado
VAR_1_BeT-9842271798.uml	nao aplicado
VAR_9_BeT-3976624977.uml	 strategy
VAR_2_BeT-8925718879.uml	nao aplicado
VAR_0_BeT-9939183491.uml	nao aplicado
VAR_3_BeT-1337119778.uml	nao aplicado
VAR_5_BeT-7377892141.uml	 strategy
VAR_11_BeT-1268447121.uml	nao aplicado
VAR_8_BeT-6112133885.uml	nao aplicado
